Date,Time,Rad,wind_speed,wind_dir,RH,temp,pp
15/02/2013,00:00:00,0,0.44,220.92,63.69,21.49,0
15/02/2013,00:15:00,0,1.17,227.25,63.39,21.64,0
15/02/2013,00:30:00,0,2.1,234.55,63.69,21.66,0
15/02/2013,00:45:00,0,3.57,233.49,64.91,21.39,0
15/02/2013,01:00:00,0,3.52,210.11,65.45,21.2,0
15/02/2013,01:15:00,0,3.13,208.7,66.69,20.98,0
15/02/2013,01:30:00,0,0.63,203.96,69.38,20.37,0
15/02/2013,01:45:00,0,0.39,200.88,71.33,19.95,0
15/02/2013,02:00:00,0,0.39,194.81,72.43,19.73,0
15/02/2013,02:15:00,0,0.63,186.46,72.89,19.61,0
15/02/2013,02:30:00,0,1.42,186.46,74.29,19.32,0
15/02/2013,02:45:00,0,1.56,192.53,74.53,19.24,0
15/02/2013,03:00:00,0,0.24,171.52,76.8,18.61,0
15/02/2013,03:15:00,0,0,157.89,79.51,18.07,0
15/02/2013,03:30:00,0,0,171.52,80.68,17.83,0
15/02/2013,03:45:00,0,0,187.96,82.17,17.75,0
15/02/2013,04:00:00,0,0,194.9,82.61,17.53,0
15/02/2013,04:15:00,0,0,200.09,85.1,16.48,0
15/02/2013,04:30:00,0,0,200.09,87.74,16.22,0
15/02/2013,04:45:00,0,0.1,206.86,87.74,16.8,0
15/02/2013,05:00:00,0,0,205.71,86.4,16.87,0
15/02/2013,05:15:00,0,0,210.37,87.67,16.39,0
15/02/2013,05:30:00,0,0,213.45,88.52,15.75,0
15/02/2013,05:45:00,0,0,213.54,90.09,15.6,0
15/02/2013,06:00:00,0,0,213.45,90.65,15.09,0
15/02/2013,06:15:00,0,0,213.45,91.45,14.9,0
15/02/2013,06:30:00,0,0,195.08,92.14,14.87,0
15/02/2013,06:45:00,0,0,182.86,92.45,14.8,0
15/02/2013,07:00:00,0,0,182.86,93.07,14.65,0
15/02/2013,07:15:00,0,0,194.2,93.43,14.65,0
15/02/2013,07:30:00,2.93,0,198.33,93.82,14.75,0
15/02/2013,07:45:00,15.63,0,194.55,94.04,15.19,0
15/02/2013,08:00:00,28.82,0,178.9,93.97,15.58,0
15/02/2013,08:15:00,54.7,0,187.69,93.8,15.9,0
15/02/2013,08:30:00,78.14,0.1,192.35,93.11,16.56,0
15/02/2013,08:45:00,112.33,0.05,138.9,91.84,16.95,0
15/02/2013,09:00:00,125.52,0.29,139.87,90.48,17.19,0
15/02/2013,09:15:00,167.03,0.24,139.87,89.11,17.56,0
15/02/2013,09:30:00,283.76,0.24,141.71,85.86,18.36,0
15/02/2013,09:45:00,317.95,0.44,148.31,84.18,18.63,0
15/02/2013,10:00:00,188.52,0.73,181.19,81.51,18.8,0
15/02/2013,10:15:00,269.6,0.63,204.4,82.25,19.02,0
15/02/2013,10:30:00,250.55,0.63,157.45,79.9,19.44,0
15/02/2013,10:45:00,308.67,0.59,162.81,78.19,20.05,0
15/02/2013,11:00:00,386.32,0.54,186.46,77.12,20.34,0
15/02/2013,11:15:00,698.9,2.2,192.53,73.75,21.37,0
15/02/2013,11:30:00,751.16,1.07,175.65,68.89,22.56,0
15/02/2013,11:45:00,790.72,1.71,241.85,68.18,23.25,0
15/02/2013,12:00:00,828.82,1.95,143.91,65.4,23.57,0
